gene	pathway	other_pathway	source	coverage_corrected?	max_0-cov	%_0-cov	nucl_div	sites_common_FEL-M7	sites_FEL	sites_M7M8	dNdS_FEL	pos_site_density
EEF2K	OXTP		KEGG				0.008942033	4	6	7	0.215582391	8.075370121
EGFR	OXTP		KEGG				0.007640657	8	11	no_cml	0.188712777	9.708737864
EGFR_h1	OXTP	DISCARDED	homol				NA	0	NA	NA	NA	NA
EGFR_h2	OXTP		homol				0.008688369	2	2	6	0.185980847	10.63829787
ELK1	OXTP		KEGG				0.007877184	1	3	4	0.125774827	5.145797599
FOS	OXTP	DOPP	KEGG				0.005476113	1	2	1	0.380901795	5.102040816
GJA1B	OXTP		KEGG				0.003902225	0	0	0	0.023613516	0
GNAI	OXTP	DOPP-SERP	KEGG				0.002817037	0	0	0	0.059592688	0
GNAI2	OXTP	DOPP-SERP	homol				0.003534081	0	0	0	0.013837303	0
GNAI3	OXTP	DOPP-SERP	homol				0.007683809	0	0	0	0.118508267	0
GNAI4	OXTP	DOPP-SERP	homol				0.006151298	0	1	0	0.028242379	3.311258278
GNAI5	OXTP	DOPP-SERP	homol				0.003431554	0	0	0	0.01858526	0
GNAO	OXTP	DOPP-SERP	KEGG				0.004974215	0	0	0	0.02004609	0
GNAO2	OXTP	DOPP-SERP	homol				0.005229128	0	1	0	0.018565315	2.824858757
GNAQ	OXTP	DOPP-SERP	KEGG				0.005408331	1	2	1	0.126175094	5.571030641
GNAQ2	OXTP	DOPP-SERP	homol				0.004519321	0	0	1	0.051228292	0
GNAS	OXTP	DOPP-SERP	KEGG				0.003243649	0	0	0	0.010265996	0
GUCY1A1	OXTP		KEGG				0.005493411	0	0	1	0.189129506	0
GUCY1A2	OXTP		homol				0.005864005	1	1	1	0.089876906	1.248439451
GUCY1B1	OXTP		KEGG				0.004902817	0	1	0	0.034701816	1.636661211
GUCY1B2	OXTP		homol				0.010025313	10	11	17	0.38643408	14.04853129
HRASA	OXTP		KEGG				0.003798451	0	0	0	0.003016597	0
HRASB	OXTP		homol				0.007393535	0	0	0	0.026247329	0
ITPR1	OXTP	DOPP-SERP	KEGG				0.005620775	1	2	2	0.0508	0.74019245
ITPR1_h1	OXTP	DOPP-SERP	homol				0.005446658	2	2	2	0.038185321	0.73664825
ITPR2	OXTP	DOPP-SERP	KEGG				0.007567685	10	14	15	0.144413994	5.185185185
ITPR3	OXTP	DOPP-SERP	KEGG				0.009435578	5	7	4	0.075036708	2.593553168
JKAMP	OXTP		Jurek and Newmann (2018)				0.015080424	0	1	1	0.033978754	3.25732899
JUN	OXTP		KEGG				0.005979735	0	0	2	0.106350923	0
KCNJ12	OXTP		KEGG				0.007324888	3	4	5	0.160308766	7.285974499
KCNJ14	OXTP		KEGG				0.006696989	3	5	3	0.349441677	9.345794393
KCNJ2	OXTP		KEGG				0.012482292	0	0	0	0.033773544	0
KCNJ3	OXTP	DOPP-SERP	homol				0.00235017	0	0	0	0.040679967	0
KCNJ4	OXTP		KEGG				0.007748624	0	1	1	0.118263388	1.776198934
KCNJ5	OXTP	DOPP-SERP	homol				0.003871782	0	0	0	0.068184689	0
KCNJ6	OXTP	DOPP-SERP	homol				0.005165606	2	2	2	0.094558212	4.784688995
KCNJ9	OXTP		homol				0.006497049	0	0	0	0.046866632	0
KRAS	OXTP	SERP	KEGG				0.001795894	0	0	0	0.007520808	0
MAP2K1	OXTP	SERP	KEGG				0.006221106	0	0	0	0.032378696	0
MAP2K1_h1	OXTP	SERP	homol				0.005170536	0	0	0	0.083981065	0
MAP2K2	OXTP		KEGG				0.004918595	0	0	0	0.04154077	0
MAP2K5	OXTP		KEGG				0.003633622	2	1	1	0.090365985	2.283105023
MAPK1	OXTP	DOPP-SERP	KEGG				0.005324038	0	0	1	0.023870506	0
MAPK10	OXTP	DOPP	KEGG				0.002624018	0	0	0	0	0
MAPK14_h1	OXTP	DOPP	Jurek and Newmann (2018)				0.006609687	0	1	0	0.136328633	2.747252747
MAPK14A	OXTP	DOPP	Jurek and Newmann (2018)				0.005674967	1	1	1	0.05417581	2.762430939
MAPK14B	OXTP	DOPP	Jurek and Newmann (2018)				0.003859777	1	1	1	0.045024304	2.770083102
MAPK3	OXTP		KEGG				0.005917588	0	0	1	0.04545051	0
MAPK7	OXTP		KEGG				0.006179427	0	5	0	0.178541865	4.464285714
MAPK8	OXTP	DOPP	KEGG				0.004234931	0	0	1	0.04713577	0
MAPK8_h1	OXTP	DOPP	homol				0.00601157	0	0	1	0.084483489	0
MAPK9	OXTP	DOPP	KEGG				0.003884026	0	0	0	0.022988594	0
MTOR	OXTP		Jurek and Newmann (2018)				0.004946708	0	0	0	0.010982929	0
MYL6	OXTP		KEGG				0.004593541	0	0	0	0.005020473	0
MYL9	OXTP		KEGG				0.003059622	0	0	0	0.005065112	0
MYL9_h1	OXTP		homol				0.006285448	0	0	0	0.016874653	0
MYLK	OXTP		KEGG				0.011052844	29	30	no_cml	0.280053831	17.47233547
MYLK4A	OXTP		homol				0.011152124	0	5	0	0.301489885	6.053268765
MYLK4B	OXTP		homol				0.009942323	5	10	8	0.335922518	13.67989056
NFATC1	OXTP		KEGG				0.005911751	3	4	3	0.160721151	5.727376861
NFATC2	OXTP		KEGG				0.006946587	1	1	2	0.099478567	1.145475372
NFATC3	OXTP		KEGG				0.0054973	1	1	2	0.122888003	0.917431193
NFATC4	OXTP		KEGG				0.007382824	2	3	2	0.148696812	3.303964758
NOS	OXTP		KEGG				0.005265832	1	4	1	0.12830582	2.801120448
NPPA	OXTP		KEGG				0.005341628	2	2	3	0.590849532	11.9047619
NPR1	OXTP		KEGG				0.00971281	1	16	2	0.253449851	15.05174036
NPR1_h1	OXTP		homol				0.013123909	7	12	16	0.153099372	14.02805611
NPR2	OXTP		KEGG				0.00549643	0	0	0	0.039944456	0
OT	OXTP		KEGG				0.008054107	1	2	1	0.425663942	12.82051282
OTRA	OXTP		KEGG				0.004121645	0	0	0	0.092367817	0
OTRB	OXTP		homol				0.007447953	0	0	1	0.322465939	0
PEA15	OXTP		Jurek and Newmann (2018)				0.002895487	0	1	0	0.055882605	7.692307692
PIK3CG	OXTP		KEGG				0.006090135	4	4	4	0.060163498	3.565062389
PIK3R5	OXTP		homol				0.007624214	8	12	10	0.352554202	14.11764706
PIK3R6	OXTP		homol				0.007064728	0	1	0	0.251973944	2.976190476
PLA2G4	OXTP	SERP	KEGG				0.009021911	5	6	10	0.158390081	8.053691275
PLCB1	OXTP	DOPP-SERP	KEGG				0.005901585	6	8	7	0.108482292	6.441223833
PLCB2	OXTP	DOPP-SERP	homol				0.009020914	11	11	no_cml	0.239827845	8.675078864
PLCB3	OXTP	DOPP-SERP	homol				0.01003909	22	25	25	0.358756967	19.88862371
PLCB4	OXTP	DOPP-SERP	homol				0.005413306	1	1	4	0.052366971	0.817661488
PPP1CB	OXTP	DOPP	KEGG				0.004578602	0	0	0	0.007561495	0
PPP1CC	OXTP	DOPP	KEGG				0.004063639	0	0	0	0.002458547	0
PPP1R12A	OXTP		KEGG				0.00653625	4	4	5	0.156342045	5.644402634
PPP1R12C	OXTP		KEGG				0.01248587	11	17	13	0.371379623	24.2510699
PPP3CA	OXTP	DOPP	KEGG				0.002895129	0	0	0	0.023880982	0
PPP3CB	OXTP	DOPP	KEGG				0.006351693	0	0	0	0.028496567	0
PPP3CC	OXTP	DOPP	KEGG				0.006126777	0	0	0	0.062239916	0
PPP3CC_h1	OXTP	DOPP	homol				0.00523616	0	0	0	0.049483984	0
PPP3R1	OXTP		KEGG				0.002521098	0	0	0	0	0
PRKAA	OXTP		KEGG				0.004402467	0	0	0	0.048448452	0
PRKAAB	OXTP		homol				0.006547638	0	0	0	0.016160148	0
PRKAB1	OXTP		KEGG				0.006362983	0	0	0	0.052085749	0
PRKAB2	OXTP		KEGG				0.005006338	0	0	0	0.054368391	0
PRKACA	OXTP		homol				0.002688114	0	0	0	0.003708309	0
PRKACB	OXTP		homol				0.006492073	0	0	0	0.016147719	0
PRKAG1	OXTP		KEGG				0.006260528	1	1	no_cml	0.050247627	3.067484663
PRKAG3	OXTP		KEGG				0.006081101	4	5	5	0.268833893	15.19756839
PRKCA	OXTP	DOPP-SERP	KEGG				0.006647599	3	3	7	0.142691662	4.411764706
PRKCB_h1	OXTP	DISCARDED. DOPP-SERP	homol				NA	0	NA	NA	NA	NA
PRKCB	OXTP	DOPP-SERP	KEGG				0.004700704	0	1	0	0.040539319	1.485884101
PRKCG	OXTP	DOPP-SERP	KEGG				0.005410355	3	3	3	0.104716271	4.261363636
PTENA	OXTP		Jurek and Newmann (2018)				0.002268588	0	1	0	0.043537066	2.155172414
PTENB	OXTP		Jurek and Newmann (2018)				0.00686123	0	0	3	0.047827886	0
PTGS2	OXTP	SERP	KEGG				0.019159481	8	8	20	0.162968079	12.96596434
PTK2BB	OXTP		Jurek and Newmann (2018)				0.008945442	8	10	8	0.176616397	10.09081736
RAF1	OXTP	SERP	KEGG				0.004642353	0	0	0	0.064084345	0
RCAN1 (tr2)	OXTP		KEGG				0.01630953	1	1	2	0.049273593	4.672897196
RGS2	OXTP		KEGG				0.009380663	1	2	1	0.499048019	10.15228426
RHOAA	OXTP		KEGG				0.004324095	0	0	0	0.016447412	0
RHOAB	OXTP		KEGG				0.004375667	0	0	0	0.004581466	0
ROCK1	OXTP		KEGG				0.005360501	0	1	1	0.064396808	0.729927007
ROCK2A	OXTP		KEGG				0.006230706	0	2	1	0.057598645	1.453488372
ROCK2B	OXTP		KEGG				0.008743722	10	10	no_cml	0.271405612	6.600660066
RPS6KB1B	OXTP		Jurek and Newmann (2018)				0.005607878	0	0	0	0.053430242	0
RPS6KB1B_h1	OXTP		homol				0.008504086	1	1	2	0.07490007	2.057613169
RYR1	OXTP		KEGG				0.004529578	4	7	4	0.0697	1.375786164
RYR1_h1	OXTP		homol				0.005902688	9	13	11	0.076778018	0
RYR2	OXTP		KEGG				0.006961045	4	6	5	0.063445215	1.417004049
RYR2_h1	OXTP	DISCARDED	homol				NA	0	NA	NA	NA	NA
RYR2_h2	OXTP	DISCARDED	homol				NA	0	NA	NA	NA	NA
RYR3	OXTP	DISCARDED	KEGG				NA	0	NA	NA	NA	NA
RYR3_h1	OXTP	DISCARDED	homol				NA	0	NA	NA	NA	NA
SRC	OXTP		KEGG				0.004978222	2	4	3	0.101529255	7.272727273
SRC_h1	OXTP		homol				0.005610686	2	2	2	0.07503703	3.683241252
TRPM2	OXTP		KEGG				0.011116241	28	28	no_cml	0.55192516	20.90357384
AKT	DOPP		KEGG				0.002696613	0	0	0	0.004781443	0
ARNTL	DOPP		KEGG				0.005393209	0	0	0	0.016641443	0
ARNTL_h1	DOPP		homol				0.004213695	1	2	1	0.118812202	1.567398119
ARRB	DOPP	OXTP	KEGG				0.00980141	1	2	4	0.128697868	4.651162791
ARRB_h1	DOPP	OXTP	homol				0.008873805	0	0	0	0.008023084	0
ATF2	DOPP		KEGG				0.005015516	0	0	0	0.144730919	0
ATF4	DOPP		KEGG				0.010403894	2	3	4	0.321847357	6.756756757
ATF4_h1	DOPP		homol				0.010815774	7	10	6	0.440233791	19.9556541
ATF6B	DOPP		KEGG				0.011416775	8	9	10	0.283341391	9.202453988
ATF6B_h1	DOPP		homol				0.010421436	10	10	20	0.134221918	12.64044944
CACNA1A	DOPP	SERP	KEGG				0.004354484	0	1	4	0.136200372	0.413052458
CACNA1A_h1	DOPP	SERP	homol				0.0051877	8	8	12	0.100693692	3.305785124
CACNA1B	DOPP	SERP	KEGG				0.007246085	7	7	no_cml	0.232980097	2.521008403
CACNA1B_h1	DOPP	SERP	homol				0.006778658	8	8	no_cml	0.206165244	3.895597974
CALY	DOPP		KEGG				0.006616141	0	0	0	0.217195364	0
CALY_h1	DOPP		homol				0.00300489	0	0	0	0.039796187	0
CAMK2	DOPP		KEGG				0.002120356	0	0	0	0.018486793	0
CLOCK	DOPP		KEGG				0.005469697	1	1	1	0.074400742	1.146788991
CLOCK_h1	DOPP		homol				0.006398227	0	0	1	0.07063332	0
CLOCK_h2	DOPP		homol				0.004999335	1	2	2	0.130546542	2.232142857
COMT	DOPP		KEGG				0.008044837	0	1	2	0.292196524	0
CREB	DOPP	OXTP	KEGG				0.009625601	3	3	5	0.461065019	11.58301158
CREB1	DOPP	OXTP	KEGG				0.008764203	0	1	0	0.106532382	3.03030303
CREB1_h1	DOPP	OXTP	homol				0.004948323	1	1	1	0.067418888	3.144654088
CREB1_h2	DOPP	OXTP	homol				0.005220278	0	0	0	0.055732409	0
CREB3	DOPP	OXTP	KEGG				0.010378041	2	5	4	0.293703794	8.097165992
CREB3_h1	DOPP	OXTP	homol				0.012006357	3	3	7	0.357176086	4.683840749
CREB3_h2	DOPP	OXTP	homol				0.014337644	5	9	9	0.296715331	16.47058824
CREB5	DOPP	OXTP	KEGG				0.003364677	0	0	2	0.057036508	0
CREB5_h1	DOPP	OXTP	homol				0.006667189	1	4	2	0.244530704	5.454545455
DDC	DOPP	SERP	KEGG				0.007998318	3	3	5	0.164896447	6.25
DRD1	DOPP		KEGG				0.007397362	0	0	0	0.065539063	0
DRD1_h1	DOPP		homol				0.006016076	0	1	0	0.113164149	0
DRD1_h2	DOPP		homol				0.012153126	2	2	15	0.075433016	4.524886878
DRD1_h3	DOPP		homol				0.011594285	0	0	3	0.091244046	0
DRD1_h4	DOPP		homol				0.011479787	0	2	1	0.293896344	4.366812227
DRD2	DOPP		KEGG				0.00740155	0	0	0	0.097469548	0
DRD2_h1	DOPP		homol				0.008619234	0	1	2	0.121325736	0
DRD3	DOPP		KEGG				0.009898534	3	8	5	0.346116008	12.42236025
DRD4	DOPP		KEGG				0.007212387	1	3	1	0.138880874	4.830917874
DRD4_h1	DOPP		homol				0.008222237	1	1	1	0.120790223	2.597402597
DRD4_h2	DOPP		homol				0.00883478	1	2	3	0.208082748	2.481389578
DRD5	DOPP		KEGG				0.005424646	0	0	0	0.085775404	0
GNAL	DOPP		KEGG				0.002273349	0	0	0	0.027003846	0
GNB1	DOPP	SERP	KEGG				0.004122473	1	1	1	0.016137992	2.941176471
GNB1_h1	DOPP	SERP	homol				0.001476422	0	0	0	0	0
GNB2	DOPP	SERP	KEGG				0.005133059	0	0	0	0.011862076	0
GNB3	DOPP	SERP	KEGG				0.006576754	1	1	2	0.103573864	2.941176471
GNB3_h1	DOPP	SERP	homol				0.015872566	13	12	13	0.347200699	40.93567251
GNB4	DOPP	SERP	KEGG				0.009824395	0	0	0	0.020367859	0
GNB5	DOPP	SERP	KEGG				0.005205694	0	0	0	0.023300852	0
GNB5_h1	DOPP	SERP	homol				0.006491682	0	0	1	0.08952566	0
GNG10	DOPP	SERP	KEGG				0.016590132	6	8	9	0.77252733	21.50537634
GNG12	DOPP	SERP	KEGG				0.004223915	0	0	1	0.126743083	0
GNG12_h1	DOPP	SERP	homol				0.002822613	0	0	0	0.030990168	0
GNG13	DOPP	SERP	KEGG				0.003719672	0	0	0	0	0
GNG2	DOPP	SERP	KEGG				0.007051759	0	0	0	0.053838489	0
GNG3	DOPP	SERP	KEGG				0.00533218	0	0	0	0.008666698	0
GNG4	DOPP	SERP	KEGG				0.009322233	0	0	0	0.013240404	0
GNG5	DOPP	SERP	KEGG				0.003417872	0	0	0	0.091156619	0
GNG5_h1	DOPP	SERP	homol				0.006715824	0	0	0	0.056764601	0
GNG5_h2	DOPP	SERP	homol				0.005911671	0	0	0	0.07709448	0
GNG7	DOPP	SERP	KEGG				0.00100088	0	0	0	0.031586456	0
GNG8	DOPP	SERP	KEGG				0.002284252	0	0	0	0.008395292	0
GNGT1	DOPP	SERP	KEGG				0.005155871	0	1	0	0.310180081	0
GNGT2	DOPP	SERP	KEGG				0.017736477	1	3	2	0.746078181	42.85714286
GRIA1	DOPP		KEGG				0.004480201	0	0	0	0.016814498	0
GRIA1_h1	DOPP		homol				0.008125602	3	3	4	0.125141522	5.274261603
GRIA2	DOPP		KEGG				0.003328355	0	0	0	0.014604958	0
GRIA2_h1	DOPP		homol				0.003486601	1	2	1	0.049155376	2.205071665
GRIA3	DOPP		KEGG				0.003725051	1	2	1	0.059724278	1.117318436
GRIA3_h1	DOPP		homol				0.003479796	0	0	0	0.034477389	0
GRIA4	DOPP		KEGG				0.003350745	0	0	0	0.02476746	0
GRIA4_h1	DOPP		homol				0.002571715	0	0	0	0.007842374	0
GRIN2A	DOPP		KEGG				0.005916856	0	0	1	0.060583707	0
GRIN2A_h1	DOPP		homol				0.006404172	3	4	3	0.09044012	1.884422111
GRIN2B	DOPP		KEGG				0.006394441	3	5	6	0.076063546	2.316155182
GRIN2B_h1	DOPP		homol				0.0055102	3	4	3	0.083856374	1.134429949
GSK3A	DOPP		KEGG				0.003041354	0	0	0	0.026052993	0
GSK3B	DOPP		KEGG				0.004711241	0	0	0	0.012027382	0
GSK3B_h1	DOPP		homol				0.003848726	0	0	0	0.023251021	0
KIF5	DOPP		KEGG				0.004714608	3	3	4	0.109413029	2.879078695
KIF5_h1	DOPP		homol				0.009710672	8	13	14	0.24473575	10.87941976
KIF5_h2	DOPP		homol				0.003881575	1	1	1	0.028090814	1.03626943
KIF5_h3	DOPP		homol				0.006090322	1	4	4	0.086884562	1.047120419
KIF5_h4	DOPP		homol				0.007115727	2	6	3	0.131229849	5.117707267
KIF5_h5	DOPP		homol				0.006736211	2	2	6	0.120789039	2.079002079
MAO	DOPP	DISCARDED	KEGG				NA	NA	NA	NA	NA	NA
MAO_h1	DOPP	SERP	homol				0.007152737	11	11	10	0.374695939	0
MAO_h2	DOPP	SERP	homol				0.005780194	4	4	7	0.245448931	0
MAPK8_h1	DOPP	OXTP	homol				0.004234931	0	0	1	0.084483489	0
MAPK8	DOPP	OXTP	KEGG				0.00601157	0	0	1	0.04713577	0
PPP1R1B	DOPP		KEGG				0.003698398	0	0	1	0.24696313	0
PPP2CAB	DOPP		KEGG				0.005211421	0	0	0	0.00527045	0
PPP2CAB_h1	DOPP		homol				0.003769706	0	0	0	0.006292628	0
PPP2CB	DOPP		KEGG				0.002789313	0	0	0	0	0
PPP2R1BB	DOPP		KEGG				0.003988001	0	0	0	0	0
PPP2R2A	DOPP		KEGG				0.005222675	0	0	0	0.027087679	0
PPP2R2A_h1	DOPP		homol				0.004905325	0	0	0	0.020278492	0
PPP2R2B	DOPP		KEGG				0.00452275	0	0	0	0.023754227	0
PPP2R2B_h1	DOPP		homol				0.005395441	0	0	0	0.034999743	0
PPP2R2D	DOPP		KEGG				0.001514251	0	0	0	0.0055989	0
PPP2R2G	DOPP		KEGG				0.00474	0	1	0	0.053046538	2.207505519
PPP2R3A	DOPP		KEGG				0.007819833	3	6	6	0.276721591	3.546099291
PPP2R3B	DOPP		KEGG				0.006365246	0	1	0	0.237206856	1.848428835
PPP2R5A	DOPP		KEGG				0.006838669	2	3	2	0.127472435	5.825242718
PPP2R5B	DOPP		KEGG				0.001924763	0	0	0	0.015429921	0
PPP2R5D	DOPP	DISCARDED. OXTP	KEGG				NA	0	NA	NA	NA	NA
PPP2R5E	DOPP		KEGG				0.002592601	0	0	0	0.016168803	0
PPP2R5G	DOPP		KEGG				0.00435307	0	0	0	0.066192142	0
PPP2R5G_h1	DOPP		homol				0.003901363	0	1	0	0.111076498	1.618122977
SCN1A	DOPP		KEGG				0.013373053	40	38	no_cml	0.666624868	19.27710843
SLC18A1	DOPP	SERP	KEGG				0.007859944	5	7	8	0.151069653	10.84990958
SLC18A2	DOPP	SERP	KEGG				0.012361402	1	1	3	0.073066281	1.937984496
SLC6A3	DOPP		KEGG				0.004216807	1	2	1	0.047613968	1.644736842
SLC6A3_h1	DOPP		homol				0.005100941	0	0	0	0.033308901	0
SLC6A3_h2	DOPP		homol				0.004672455	1	1	1	0.091174882	1.483679525
SLC6A3_h3	DOPP		homol				0.007003035	9	15	9	0.52400938	20.90032154
TH	DOPP		KEGG				0.007986144	0	1	0	0.117999211	2.044989775
TH_h1	DOPP		homol				0.0074525	1	1	1	0.229137296	2.096436059
GNAQ	DOPP	OXTP-SERP	KEGG				0.005408331	1	2	1	0.126175094	5.571030641
GNAQ2	DOPP	OXTP-SERP	homol				0.004519321	0	0	1	0.051228292	0
PLCB1	DOPP	OXTP-SERP	KEGG				0.005901585	6	8	7	0.108482292	6.441223833
PLCB2	DOPP	OXTP-SERP	homol				0.009020914	11	11	no_cml	0.239827845	8.675078864
PLCB3	DOPP	OXTP-SERP	homol				0.01003909	22	25	25	0.358756967	19.88862371
PLCB4	DOPP	OXTP-SERP	homol				0.005413306	1	1	4	0.052366971	0.817661488
ITPR1	DOPP	OXTP-SERP	KEGG				0.005620775	1	2	2	0.0508	0.74019245
ITPR1_h1	DOPP	OXTP-SERP	homol				0.005446658	2	2	2	0.038185321	0.73664825
ITPR2	DOPP	OXTP-SERP	KEGG				0.007567685	10	14	15	0.144413994	5.185185185
ITPR3	DOPP	OXTP-SERP	KEGG				0.009435578	5	7	4	0.075036708	2.593553168
CALM	DOPP	OXTP	KEGG				0.00526716	0	0	0	0	0
CALM2	DOPP	OXTP	homol				0.001714128	0	0	0	0	0
CALM3	DOPP	OXTP	homol				0.003744866	0	0	0	0	0
CALML4	DOPP	OXTP	homol				0.007357906	0	2	1	0.265342284	13.07189542
